Player,Club,POS,MINS,G,A,SHTS,G/90min,A/90min,OFF,YC,RC,Year,Season
Todd Dunivant,NY ,D,2230,0,0,15,0.0,0.0,3,1,0,2007,reg
Landon Donovan,LA ,M-F,2136,20,9,65,0.84,0.38,15,4,0,2008,reg
Kenny Cooper,DAL,F,2622,18,3,119,0.62,0.1,39,1,0,2008,reg
Edson Buddle,LA ,F,2218,15,3,74,0.61,0.12,30,2,0,2008,reg
Juan Pablo Angel,NY ,F,1955,14,3,76,0.64,0.14,27,2,0,2008,reg
Brian Ching,HOU,F,2096,13,5,57,0.56,0.21,23,2,0,2008,reg
Luciano Emilio,DC ,F,2141,11,5,76,0.46,0.21,10,3,0,2008,reg
Conor Casey,COL,F,1313,11,2,51,0.75,0.14,12,4,1,2008,reg
Jaime Moreno,DC ,F,1861,10,10,36,0.48,0.48,7,3,1,2008,reg
Chris Rolfe,CHI,F,1960,9,8,42,0.41,0.37,8,1,0,2008,reg
Chad Barrett,CHI,F,2172,9,7,66,0.37,0.29,23,2,0,2008,reg
Alejandro Moreno,CLB,F,2428,9,4,46,0.33,0.15,25,1,0,2008,reg
Steve Ralston,NE ,M,1715,8,7,21,0.42,0.37,2,2,0,2008,reg
Taylor Twellman,NE ,F,1211,8,2,42,0.59,0.15,6,0,0,2008,reg
Jeff Cunningham,DAL,F,1698,8,2,43,0.42,0.11,39,4,0,2008,reg
Guillermo Barros Schelotto,CLB,F,2216,7,19,54,0.28,0.77,15,3,0,2008,reg
Cuauhtemoc Blanco,CHI,M,2398,7,11,46,0.26,0.41,11,6,0,2008,reg
Dave van den Bergh,NY ,M,2228,7,5,36,0.28,0.2,1,3,1,2008,reg
Davy Arnaud,KC ,M,2019,7,3,44,0.31,0.13,6,5,0,2008,reg
Dwayne De Rosario,HOU,M,1948,7,2,78,0.32,0.09,35,6,0,2008,reg
Yura Movsisyan,RSL,F,1229,7,1,69,0.51,0.07,13,0,0,2008,reg
Javier Morales,RSL,M,2511,6,15,48,0.22,0.54,5,3,0,2008,reg
Claudio Lopez,KC ,F,2265,6,7,67,0.24,0.28,24,3,0,2008,reg
Arturo Alvarez,DAL,M,1795,6,6,40,0.3,0.3,13,2,0,2008,reg
Robbie Findley,RSL,F,1493,6,5,44,0.36,0.3,13,2,0,2008,reg
Darren Huckerby,SJ ,M,1211,6,4,31,0.45,0.3,22,1,0,2008,reg
Omar Cummings,COL,F,1629,6,4,56,0.33,0.22,12,1,0,2008,reg
Robbie Rogers,CLB,D,2334,6,3,70,0.23,0.12,9,2,0,2008,reg
Adam Cristman,NE ,F,1300,6,1,39,0.42,0.07,5,0,0,2008,reg
Jimmy Conrad,KC ,D,2700,6,0,16,0.2,0.0,0,4,0,2008,reg
David Beckham,LA ,M,2248,5,10,35,0.2,0.4,4,6,0,2008,reg
Sacha Kljestan,LA,M,1941,5,7,36,0.23,0.32,2,7,1,2008,reg
Alan Gordon,LA ,F,1314,5,7,46,0.34,0.48,13,4,1,2008,reg
Ante Razov,CHV,F,1415,5,6,51,0.32,0.38,21,3,0,2008,reg
Santino Quaranta,DC ,M-F,1963,5,4,45,0.23,0.18,7,7,0,2008,reg
Danny Dichio,TOR,F,1445,5,3,20,0.31,0.19,26,4,0,2008,reg
Scott Sealy,KC ,F,2021,5,3,45,0.22,0.13,35,0,0,2008,reg
Colin Clark,COL,M,2325,5,3,46,0.19,0.12,10,6,1,2008,reg
Alecko Eskandarian,CHV,F,656,5,2,23,0.69,0.27,7,1,1,2008,reg
Dominic Oduro,DAL,M,992,5,2,28,0.45,0.18,7,0,0,2008,reg
Brian McBride,CHI,F,932,5,2,30,0.48,0.19,6,0,0,2008,reg
Tom McManus,COL,F,1307,5,2,44,0.34,0.14,16,2,1,2008,reg
John Thorrington,CHI,M,1881,5,1,24,0.24,0.05,2,8,0,2008,reg
Ryan Johnson,SJ ,F,1535,5,1,29,0.29,0.06,12,2,0,2008,reg
Mike Magee,NY ,M,1665,5,1,35,0.27,0.05,2,2,0,2008,reg
Brad Evans,CLB,D-M,1756,5,1,37,0.26,0.05,2,3,1,2008,reg
Fabian Espindola,RSL,F,642,5,0,25,0.7,0.0,6,1,0,2008,reg
Ronnie O'Brien,SJ ,M,2286,4,6,62,0.16,0.24,1,4,0,2008,reg
Nate Jaqua,HOU,F,901,4,4,10,0.4,0.4,3,2,0,2008,reg
Rohan Ricketts,TOR,M,2139,4,4,29,0.17,0.17,5,0,0,2008,reg
Kheli Dube,NE ,F,1252,4,4,29,0.29,0.29,8,1,0,2008,reg
Amado Guevara,TOR,M,1819,4,4,41,0.2,0.2,4,5,1,2008,reg
Marcelo Gallardo,DC ,M,1161,4,3,31,0.31,0.23,3,3,1,2008,reg
Chad Marshall,CLB,D,2485,4,2,23,0.14,0.07,0,2,0,2008,reg
Jeff Larentowicz,ATL,M,2437,4,2,24,0.15,0.07,0,5,1,2008,reg
Justin Braun,CHV,F,1219,4,2,32,0.3,0.15,13,2,0,2008,reg
Kei Kamara,COL,F,1552,4,2,46,0.23,0.12,12,3,1,2008,reg
Steven Lenhart,CLB,F,278,4,0,8,1.29,0.0,3,0,1,2008,reg
Jesse Marsch,CHV,M,2138,4,0,15,0.17,0.0,2,5,0,2008,reg
Brad Davis,HOU,M,1800,3,8,42,0.15,0.4,4,2,0,2008,reg
Andre Rocha,DAL,M,2151,3,8,47,0.13,0.33,1,6,1,2008,reg
Jack Jewsbury,KC ,M,2548,3,7,47,0.11,0.25,3,6,0,2008,reg
Dane Richards,NY ,M,1553,3,6,28,0.17,0.35,19,2,0,2008,reg
Christian Gomez,COL,M,1423,3,6,36,0.19,0.38,7,2,0,2008,reg
Brian Mullan,HOU,D,2343,3,5,18,0.12,0.19,12,2,0,2008,reg
Atiba Harris,CHV,D,2014,3,5,42,0.13,0.22,10,8,0,2008,reg
Stuart Holden,HOU,M,1652,3,4,35,0.16,0.22,1,3,0,2008,reg
Josh Wolff,KC ,F,949,3,3,17,0.28,0.28,15,1,0,2008,reg
Hérculez Gómez,COL,F,1238,3,3,42,0.22,0.22,6,1,0,2008,reg
Abe Thompson,DAL,F,972,3,2,21,0.28,0.19,11,1,0,2008,reg
Eddie Gaven,CLB,M,1848,3,2,30,0.15,0.1,7,2,0,2008,reg
Kenny Deuchar,RSL,F,1557,3,2,41,0.17,0.12,18,4,0,2008,reg
Kyle Beckerman,RSL,M,2683,3,2,45,0.1,0.07,4,5,0,2008,reg
Jozy Altidore,TOR,F,665,3,1,13,0.41,0.14,4,0,0,2008,reg
Abdoulie Mansally,NE ,D,979,3,1,14,0.28,0.09,9,1,0,2008,reg
Sasha Victorine,CHV,M,1466,3,1,24,0.18,0.06,2,3,0,2008,reg
Jorge Villafaña,POR,F,590,3,0,4,0.46,0.0,3,0,0,2008,reg
Jason Garey,CLB,F,128,3,0,11,2.11,0.0,3,1,0,2008,reg
Justin Mapp,CHI,M,2229,2,8,42,0.08,0.32,7,1,0,2008,reg
Fred,DC ,M,1690,2,4,29,0.11,0.21,9,4,0,2008,reg
Paulo Nagamura,CHV,M,2062,2,3,17,0.09,0.13,0,8,1,2008,reg
Khano Smith,NE ,M,1515,2,3,26,0.12,0.18,5,3,1,2008,reg
Michael Harrington,KC ,D,2597,2,2,5,0.07,0.07,1,4,0,2008,reg
Marvell Wynne,TOR,D,2115,2,2,9,0.09,0.09,3,1,0,2008,reg
Jonathan Bornstein,CHI,D,1679,2,2,10,0.11,0.11,3,3,0,2008,reg
Carey Talley,CHV,D,1605,2,2,12,0.11,0.11,1,4,0,2008,reg
Tomasz Frankowski,CHI,F,628,2,2,14,0.29,0.29,8,0,0,2008,reg
Gonzalo Segares,CHI,D,2013,2,2,16,0.09,0.09,1,8,0,2008,reg
Kevin Goldthwaite,NY ,D,2438,2,2,17,0.07,0.07,0,7,1,2008,reg
Juan Toja,DAL,M,1283,2,2,21,0.14,0.14,4,3,0,2008,reg
Clyde Simms,DC ,M,2697,2,2,24,0.07,0.07,1,5,0,2008,reg
Ramiro Corrales,SJ ,M,1895,2,2,29,0.09,0.09,1,5,0,2008,reg
Ryan Cochrane,SJ ,D,1535,2,1,3,0.12,0.06,2,5,0,2008,reg
Stephen King,CHI,M,854,2,1,13,0.21,0.11,0,0,0,2008,reg
Franco Caraccio,HOU,F,602,2,1,13,0.3,0.15,6,1,0,2008,reg
Emmanuel Ekpo,CLB,M,742,2,1,14,0.24,0.12,2,1,0,2008,reg
Drew Moor,COL,D,2430,2,1,18,0.07,0.04,0,5,0,2008,reg
Ricardo Clark,HOU,M,2205,2,1,25,0.08,0.04,0,6,0,2008,reg
Sainey Nyassi,NE ,M,1661,2,1,28,0.11,0.05,3,7,0,2008,reg
Mike Petke,COL,D,831,2,0,4,0.22,0.0,0,2,0,2008,reg
Marco Velez,TOR,D,1973,2,0,6,0.09,0.0,0,3,2,2008,reg
Francis Doe,DC ,F,435,2,0,9,0.41,0.0,14,0,0,2008,reg
Calen Carr,CHI,F,274,2,0,9,0.66,0.0,0,0,0,2008,reg
John Cunliffe,SJ ,F,389,2,0,10,0.46,0.0,2,1,0,2008,reg
Jámison Olave,RSL,D,2006,2,0,10,0.09,0.0,0,9,0,2008,reg
Shea Salinas,SJ,M,544,2,0,12,0.33,0.0,2,1,0,2008,reg
Abdus Ibrahim,DAL,F,486,2,0,13,0.37,0.0,12,3,0,2008,reg
Adam Moffat,CLB,M,513,2,0,15,0.35,0.0,1,3,0,2008,reg
Danleigh Borman,NY ,D,721,2,0,16,0.25,0.0,5,1,0,2008,reg
Will Johnson,RSL,D,810,2,0,17,0.22,0.0,0,2,0,2008,reg
Nick LaBrocca,COL,M,2396,2,0,24,0.08,0.0,2,3,0,2008,reg
Terry Cooke,COL,M,1698,1,12,22,0.05,0.64,2,2,0,2008,reg
Chris Klein,LA ,M,2685,1,7,19,0.03,0.23,0,1,0,2008,reg
Devon McTavish,DC ,D,2223,1,4,11,0.04,0.16,2,6,0,2008,reg
Ivan Guerrero,DC ,M,2163,1,4,16,0.04,0.17,5,2,0,2008,reg
Mehdi Ballouchy,COL,M,1200,1,4,20,0.08,0.3,4,1,0,2008,reg
Frankie Hejduk,CLB,D,2135,1,4,22,0.04,0.17,1,9,1,2008,reg
Seth Stammler,NY ,M-D,2195,1,4,25,0.04,0.16,1,5,0,2008,reg
Peter Vagenas,LA ,M,933,1,3,7,0.1,0.29,0,3,0,2008,reg
Roger Espinoza,SKC,M,1169,1,3,16,0.08,0.23,6,3,2,2008,reg
Jim Brennan,TOR,D,2462,1,3,18,0.04,0.11,5,5,0,2008,reg
Laurent Robert,TOR,M,1364,1,3,31,0.07,0.2,1,4,1,2008,reg
Andy Williams,RSL,M,1602,1,3,41,0.06,0.17,3,0,1,2008,reg
Macoumba Kandji,NY ,F,270,1,2,5,0.33,0.67,2,1,0,2008,reg
Gonzalo Martinez,DC ,D,2102,1,2,9,0.04,0.09,1,6,1,2008,reg
Pat Noonan,CLB,F,531,1,2,9,0.17,0.34,2,1,0,2008,reg
Eddie Lewis,LA ,M,711,1,2,11,0.13,0.25,4,2,0,2008,reg
Maykel Galindo,CHV,F,549,1,2,12,0.16,0.33,11,3,0,2008,reg
Sinisa Ubiparipovic,NY ,F-M,821,1,2,12,0.11,0.22,1,4,0,2008,reg
Geoff Cameron,HOU,D,921,1,2,13,0.1,0.2,5,3,0,2008,reg
Marcelo Saragosa,DAL,M,1809,1,2,14,0.05,0.1,1,9,1,2008,reg
Brian Carroll,CLB,M,2692,1,2,17,0.03,0.07,0,5,0,2008,reg
Dema Kovalenko,RSL,M,1668,1,2,25,0.05,0.11,1,7,0,2008,reg
Dejair,CHV,M,128,1,1,4,0.7,0.7,1,0,0,2008,reg
Bryan Jordan,LA ,D,366,1,1,5,0.25,0.25,2,1,0,2008,reg
Wilman Conde,CHI,D,1750,1,1,7,0.05,0.05,0,2,0,2008,reg
Carl Robinson,TOR,M,2426,1,1,8,0.04,0.04,0,4,0,2008,reg
Alvaro Pires,LA ,M,1253,1,1,9,0.07,0.07,0,4,1,2008,reg
Thabiso Khumalo,DC ,F,468,1,1,10,0.19,0.19,5,0,0,2008,reg
Bruno Guarda,DAL,M,822,1,1,10,0.11,0.11,4,2,0,2008,reg
Jose Burciaga Jr.,COL,D,818,1,1,10,0.11,0.11,0,0,0,2008,reg
Brandon McDonald,LA ,D,1036,1,1,12,0.09,0.09,3,4,0,2008,reg
Corey Ashe,HOU,M,847,1,1,13,0.11,0.11,6,1,0,2008,reg
Bobby Boswell,HOU,D,2610,1,1,15,0.03,0.03,0,6,0,2008,reg
Ely Allen,LA ,F-M,848,1,1,15,0.11,0.11,2,2,0,2008,reg
Maurice Edu,TOR,M,1104,1,1,17,0.08,0.08,2,5,0,2008,reg
Facundo Erpen,COL,D,1854,1,1,18,0.05,0.05,0,2,1,2008,reg
Shalrie Joseph,NE ,M,2384,1,1,27,0.04,0.04,4,5,1,2008,reg
Daniel Woolard,CHI,D,251,1,0,2,0.36,0.0,0,0,0,2008,reg
Quavas Kirk,DC ,F,135,1,0,3,0.67,0.0,3,0,0,2008,reg
Victor Sikora,DAL,M,274,1,0,4,0.33,0.0,1,1,0,2008,reg
Patrick Nyarko,CHI,F-M,159,1,0,4,0.57,0.0,1,0,0,2008,reg
Matthew Mbuta,NY ,M,86,1,0,4,1.05,0.0,0,0,0,2008,reg
Tyler Rosenlund,TOR,M,347,1,0,5,0.26,0.0,0,1,0,2008,reg
Cory Gibbs,COL,D,810,1,0,5,0.11,0.0,0,3,0,2008,reg
John DiRaimondo,COL,M,714,1,0,5,0.13,0.0,0,2,0,2008,reg
Aaron Pitchkolan,DAL,D,1345,1,0,6,0.07,0.0,1,3,1,2008,reg
Joe Vide,DC ,M,864,1,0,6,0.1,0.0,0,1,0,2008,reg
Gonzalo Peralta,DC ,D,1514,1,0,6,0.06,0.0,2,3,0,2008,reg
Kevin Souter,KC ,M,417,1,0,6,0.22,0.0,1,0,0,2008,reg
Julius James,TOR,D,899,1,0,6,0.1,0.0,1,0,0,2008,reg
Daniel Paladini,CHV,M,458,1,0,6,0.2,0.0,1,4,0,2008,reg
Tino Nunez,RSL,F,263,1,0,6,0.34,0.0,2,0,0,2008,reg
Jim Curtin,CHV,D,1382,1,0,7,0.07,0.0,1,1,0,2008,reg
Andy Iro,CLB,D,1079,1,0,9,0.08,0.0,1,4,0,2008,reg
Ivan Trujillo,KC ,F,700,1,0,10,0.13,0.0,10,2,0,2008,reg
Carlos Ruiz,LA ,F,671,1,0,10,0.13,0.0,11,0,0,2008,reg
Bryan Namoff,DC ,D,2398,1,0,13,0.04,0.0,0,6,2,2008,reg
Jarrod Smith,TOR,F,728,1,0,14,0.12,0.0,1,0,0,2008,reg
Jacob Peterson,COL,F,762,1,0,15,0.12,0.0,0,1,0,2008,reg
Jorge Rojas,NY ,M,825,0,5,13,0.0,0.55,3,2,0,2008,reg
Danny O'Rourke,CLB,D,2452,0,4,2,0.0,0.15,0,5,1,2008,reg
Richard Mulrooney,HOU,M,2025,0,4,5,0.0,0.18,1,3,0,2008,reg
Adrian Serioux,DAL,D,1926,0,4,8,0.0,0.19,0,3,1,2008,reg
Ned Grabavoy,SJ ,M,1709,0,4,14,0.0,0.21,0,2,0,2008,reg
Francisco Mendoza,CHV,M,2434,0,4,15,0.0,0.15,1,2,1,2008,reg
Ante Jazic,LA ,D,1172,0,3,3,0.0,0.23,2,1,0,2008,reg
Rod Dyachenko,DC ,M,776,0,3,7,0.0,0.35,2,4,0,2008,reg
Craig Waibel,HOU,D,1245,0,3,9,0.0,0.22,1,1,0,2008,reg
Chris Wingert,RSL,D,2589,0,3,10,0.0,0.1,0,4,1,2008,reg
Pablo Ricchetti,DAL,D-M,2252,0,3,10,0.0,0.12,0,6,2,2008,reg
Marc Burch,DC ,D,1817,0,3,13,0.0,0.15,0,7,1,2008,reg
Mike Randolph,LA ,D,1468,0,3,13,0.0,0.18,2,2,0,2008,reg
Carlos Marinelli,KC ,M,778,0,3,14,0.0,0.35,1,4,0,2008,reg
Kurt Morsink,KC ,M,1215,0,3,16,0.0,0.22,1,5,0,2008,reg
Mauricio Castro,NE ,M,1584,0,3,29,0.0,0.17,5,1,1,2008,reg
Nick Garcia,SJ ,D,2151,0,2,0,0.0,0.08,0,8,0,2008,reg
Chris Leitch,NY ,D,1259,0,2,1,0.0,0.14,0,2,0,2008,reg
Dax McCarty,NSH,M,821,0,2,2,0.0,0.22,2,1,0,2008,reg
Eric Denton,SJ ,D,2209,0,2,3,0.0,0.08,2,5,0,2008,reg
Eric Avila,DAL,M,508,0,2,4,0.0,0.35,0,1,0,2008,reg
James Riley,SJ ,D,2055,0,2,7,0.0,0.09,1,6,2,2008,reg
Francisco Lima,SJ ,M,1183,0,2,8,0.0,0.15,0,2,0,2008,reg
Rafael Gomes,COL,D,282,0,1,0,0.0,0.32,0,0,0,2008,reg
Matt Marquess,KC ,D,381,0,1,0,0.0,0.24,0,0,0,2008,reg
Chris Tierney,NE ,D-M,340,0,1,0,0.0,0.26,0,1,0,2008,reg
Chase Wileman,DAL,M,47,0,1,1,0.0,1.91,0,0,0,2008,reg
Abel Xavier,LA ,D,854,0,1,1,0.0,0.11,0,2,1,2008,reg
Aaron Hohlbein,KC ,D,1158,0,1,1,0.0,0.08,0,1,0,2008,reg
Patrick Ianni,HOU,D-M,1010,0,1,1,0.0,0.09,0,2,0,2008,reg
Josh Tudela,LA ,M,346,0,1,1,0.0,0.26,0,2,0,2008,reg
Jordan Harvey,LAFC,D,1180,0,1,2,0.0,0.08,0,2,0,2008,reg
Stefani Miglioranzi,CLB,M,471,0,1,2,0.0,0.19,1,1,0,2008,reg
Diego Gutierrez,CHI,D,1660,0,1,2,0.0,0.05,0,7,0,2008,reg
Keith Savage,CHV,M,295,0,1,2,0.0,0.31,1,0,0,2008,reg
Kraig Chiles,CHV,M,195,0,1,2,0.0,0.46,1,0,0,2008,reg
Diego Jimenez,NY ,D,520,0,1,2,0.0,0.17,1,3,0,2008,reg
Franco Niell,DC ,F,279,0,1,3,0.0,0.32,6,0,0,2008,reg
Hunter Freeman,NY ,D,1559,0,1,3,0.0,0.06,1,2,0,2008,reg
Michael Parkhurst,NE ,D,2520,0,1,4,0.0,0.04,0,0,0,2008,reg
Tony Beltran,RSL,D,936,0,1,4,0.0,0.1,0,1,0,2008,reg
Jason Hernandez,SJ ,D,2451,0,1,5,0.0,0.04,0,6,1,2008,reg
Kerry Zavagnin,KC ,M,1116,0,1,5,0.0,0.08,0,4,0,2008,reg
Bakary Soumare,CHI,D,2514,0,1,5,0.0,0.04,0,10,0,2008,reg
Duilio Davino,DAL,D,1958,0,1,5,0.0,0.05,0,3,0,2008,reg
Raphael Wicky,CHV,M,138,0,1,5,0.0,0.65,0,0,0,2008,reg
Johann Smith,TOR,M,371,0,1,6,0.0,0.24,1,0,0,2008,reg
Ricardinho,DAL,F,137,0,1,6,0.0,0.66,1,0,0,2008,reg
Ryan Pore,KC ,M,485,0,1,6,0.0,0.19,3,1,0,2008,reg
Juan Pietravallo,NY ,M,889,0,1,6,0.0,0.1,0,3,1,2008,reg
Ryan Cordeiro,DC ,M,207,0,1,7,0.0,0.43,0,0,0,2008,reg
Bobby Rhine,DAL,M,472,0,1,7,0.0,0.19,0,2,1,2008,reg
Greg Vanney,LA ,D,2050,0,1,7,0.0,0.04,0,5,0,2008,reg
Wells Thompson,NE ,D,786,0,1,9,0.0,0.11,1,3,0,2008,reg
Brandon Prideaux,CHI,D,2254,0,1,10,0.0,0.04,2,6,1,2008,reg
Sean Franklin,LA ,D,2385,0,1,12,0.0,0.04,0,3,0,2008,reg
Nat Borchers,RSL,D,2610,0,1,13,0.0,0.03,0,4,0,2008,reg
Jay Heaps,NE ,D,2700,0,1,15,0.0,0.03,0,5,0,2008,reg
John Wolyniec,NY ,F,726,0,1,18,0.0,0.12,8,1,0,2008,reg
Lance Watson,KC ,D,59,0,0,0,0.0,0.0,0,0,0,2008,reg
Gary Flood,NE ,M,295,0,0,0,0.0,0.0,1,0,0,2008,reg
Michael Kraus,KC ,M-F,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Jeff Carroll,DC ,M-D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Justin Moose,DC ,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Guy-Roland Kpene,HOU,F,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Ryan McMahen,KC ,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Dan Gargan,CHV,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Tyler Hemming,TOR,M,97,0,0,0,0.0,0.0,0,0,0,2008,reg
Andrea Lombardo,TOR,F,26,0,0,0,0.0,0.0,0,0,0,2008,reg
Nico Colaluca,COL,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
David Wagenfuhr,DAL,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Alex Yi,DAL,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Greg Dalby,COL,M,28,0,0,0,0.0,0.0,0,0,0,2008,reg
Andrew Daniels,DAL,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Andrew Peterson,CLB,D,69,0,0,0,0.0,0.0,0,0,0,2008,reg
Bruno Menezes,CHI,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Joey Melo,TOR,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Israel Sesay,LA ,F,5,0,0,0,0.0,0.0,0,0,0,2008,reg
Pat Carroll,DC ,D,186,0,0,0,0.0,0.0,0,0,0,2008,reg
Kevin Mesa,NY ,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
John Gilkerson,NY ,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Eric Brunner,NY ,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Nathan Sturgis,RSL,M,118,0,0,0,0.0,0.0,0,0,0,2008,reg
Mike Munoz,LA ,M,9,0,0,0,0.0,0.0,0,0,0,2008,reg
Nikolas Besagno,RSL,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Jamie Watson,DAL,M,11,0,0,0,0.0,0.0,0,0,0,2008,reg
Dustin Kirby,RSL,D,3,0,0,0,0.0,0.0,0,0,0,2008,reg
Jeff Rowland,DAL,F,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Anthony Wallace,DAL,D,259,0,0,0,0.0,0.0,0,0,0,2008,reg
Mike Chabala,HOU,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
John Michael Hayden,HOU,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Erik Ustruck,HOU,F,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Nick Hatzke,HOU,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
C.J. Brown,CHI,D,194,0,0,0,0.0,0.0,0,1,1,2008,reg
Chris Pozniak,CHV,D,311,0,0,0,0.0,0.0,0,0,0,2008,reg
Ben Olsen,DC ,M,15,0,0,0,0.0,0.0,0,0,0,2008,reg
Olivier Tebily,TOR,D,234,0,0,0,0.0,0.0,0,0,0,2008,reg
Ibrahim Koroma,DC ,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Dasan Robinson,CHI,D,132,0,0,0,0.0,0.0,0,0,0,2008,reg
Brian Plotkin,CHI,M,90,0,0,0,0.0,0.0,0,0,0,2008,reg
Jeff Curtin,DC ,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Kevin Burns,CLB,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Tim Ward,COL,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Michael Gavin,LA ,D,69,0,0,0,0.0,0.0,0,0,0,2008,reg
Julian Valentin,LA ,D,54,0,0,0,0.0,0.0,0,0,0,2008,reg
Sam Brill,NE ,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Rob Valentino,NE ,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Chase Hilgenbrinck,NE ,D,186,0,0,0,0.0,0.0,0,0,0,2008,reg
Spencer Wadsworth,DAL,M-F,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Adam Smarte,SJ ,F,104,0,0,0,0.0,0.0,0,1,0,2008,reg
Michael Palacio,NY ,M-F,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Jamil Roberts,SJ ,D,16,0,0,0,0.0,0.0,0,0,0,2008,reg
Michael Zaher,DC ,D,124,0,0,0,0.0,0.0,0,0,0,2008,reg
Gerson Mayen,SLV,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Cory Elenio,CLB,M,9,0,0,0,0.0,0.0,0,0,0,2008,reg
Jay Ayres,SJ ,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
David Horst,RSL,D,90,0,0,0,0.0,0.0,0,0,0,2008,reg
Guilherme So,CLB,F,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Alex Nimo,RSL,F-M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Brennan Tennelle,RSL,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Kevin Reiman,RSL,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Brek Shea,MIA,D,17,0,0,0,0.0,0.0,0,1,0,2008,reg
Leonard Griffin,CLB,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Ryan Miller,CLB,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
George Josten,CLB,F-M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Jeremy Barlow,DC ,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Peter Lowry,CHI,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Austin Washington,CHI,D,60,0,0,0,0.0,0.0,0,0,0,2008,reg
Kai Kasiguran,CHI,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Ciaran O'Brien,COL,M,19,0,0,0,0.0,0.0,0,0,1,2008,reg
Cesar Zambrano,COL,M,90,0,0,0,0.0,0.0,0,0,0,2008,reg
Scott Campbell,COL,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Brian Grazier,COL,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Amir Lowery,KC ,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Rauwshan McKenzie,KC ,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Stephen Wondolowski,HOU,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Johnny Alcaraz,HOU,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Brandon Tyler,NE ,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Dane Murphy,DC ,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Brandon Manzonelli,NE ,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Lider Marmol,CHI,D,94,0,0,0,0.0,0.0,0,0,0,2008,reg
Joe Germanese,NE ,M,20,0,0,0,0.0,0.0,0,0,0,2008,reg
Derek Gaudet,TOR,F,27,0,0,0,0.0,0.0,0,0,0,2008,reg
Rick Titus,TOR,D,90,0,0,0,0.0,0.0,0,0,0,2008,reg
Diaz Kambere,TOR,D,90,0,0,0,0.0,0.0,0,0,0,2008,reg
Scott Bolkan,LA ,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Vardan Adzemian,LA ,D,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Ricardo Pierre-Louis,CLB,F,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Michael Ghebru,SJ ,F,0,0,0,0,0.0,0.0,0,0,0,2008,reg
David Roth,NY ,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Gordon Kljestan,NY ,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
Kwame Sarkodie,COL,M,0,0,0,0,0.0,0.0,0,0,0,2008,reg
